description,description_details,stat
Information systems specialists,21222 - Information systems specialists,143475
Software developers and programmers,21232 - Software developers and programmers,95225
Software engineers and designers,21231 - Software engineers and designers,90565
Computer and information systems managers,20012 - Computer and information systems managers,86240
Computer network technicians,22220 - Computer network technicians,70540
Financial and investment analysts,11101 - Financial and investment analysts,61240
Mechanical engineers,21301 - Mechanical engineers,58690
Web developers and programmers,21234 - Web developers and programmers,57670
Electrical and electronics engineers,21310 - Electrical and electronics engineers,47890
Computer systems developers and programmers,21230 - Computer systems developers and programmers,44725
