cma,occupation,salary,,
Toronto,Non-Tech,57978,,
Montreal,Non-Tech,49273,,
Vancouver,Non-Tech,53739,,
Ottawa - Gatineau,Non-Tech,57299,,
Calgary ,Non-Tech,61907,,
Quebec,Non-Tech,49518,,
Edmonton,Non-Tech,56942,,
Kitchener - Cambridge - Waterloo,Non-Tech,51174,,
Hamilton,Non-Tech,56865,,
Winnipeg,Non-Tech,48977,,
Toronto,Tech,96454,,
Montreal,Tech,87101,,
Vancouver,Tech,102479,,
Ottawa - Gatineau,Tech,100708,,
Calgary ,Tech,102103,,
Quebec,Tech,75098,,
Edmonton,Tech,92622,,
Kitchener - Cambridge - Waterloo,Tech,93471,,
Hamilton,Tech,92162,,
Winnipeg,Tech,79758,,
