tech_occupations,area,pr_st,med_inc,total_emp,country
1,San Jose-Sunnyvale-Santa Clara,CA,205665.7226,173090,US
1,San Francisco-Oakland-Hayward,CA,201461.6862,187150,US
1,Seattle-Tacoma-Bellevue,WA,189212.966,173240,US
1,Wood Buffalo,Alta.,163114.6536,965,Canada
1,Boston-Cambridge-Nashua,MA-NH,161232.0022,159160,US
1,Washington-Arlington-Alexandria,DC-VA-MD-WV,158606.829,250940,US
1,Santa Maria-Santa Barbara,CA,155530.5519,7210,US
1,Boulder,CO,155330.0614,18460,US
1,New York-Newark-Jersey City,NY-NJ-PA,152523.1935,359750,US
1,California-Lexington Park,MD,151451.8221,7560,US
1,Bridgeport-Stamford-Norwalk,CT,151251.3315,15830,US
1,Durham-Chapel Hill,NC,151000.7183,21980,US
1,Trenton,NJ,150674.9212,11650,US
1,Baltimore-Columbia-Towson,MD,148594.8316,74660,US
1,Kennewick-Richland,WA,146683.906,3100,US
1,Northeast Virginia nonmetropolitan area,,142316.971,3530,US
1,Denver-Aurora-Lakewood,CO,141013.7823,89680,US
1,Portland-Vancouver-Hillsboro,OR-WA,140587.7399,61220,US
1,Albuquerque,NM,139441.1845,13350,US
1,Peoria,IL,136120.5596,5400,US
1,Fort Collins,CO,133996.6127,7390,US
1,Santa Rosa,CA,133426.4677,4530,US
1,San Diego-Carlsbad,CA,133131.9972,76400,US
1,Salinas,CA,128884.1034,1980,US
1,Charlotte-Concord-Gastonia,NC-SC,128884.1034,57020,US
1,Raleigh,NC,128765.0622,36090,US
1,Phoenix-Mesa-Scottsdale,AZ,128702.4089,85170,US
1,Charlottesville,VA,128646.0209,4210,US
1,Hartford-West Hartford-East Hartford,CT,128639.7556,24050,US
1,Minneapolis-St. Paul-Bloomington,MN-WI,128526.9796,89700,US
1,Los Angeles-Long Beach-Anaheim,CA,128245.0398,217790,US
1,Houston-The Woodlands-Sugar Land,TX,128219.9785,94600,US
1,Atlantic City-Hammonton,NJ,128088.4065,2370,US
1,Huntsville,AL,128050.8145,27980,US
1,Atlanta-Sandy Springs-Roswell,GA,127787.6707,123670,US
1,Oxnard-Thousand Oaks-Ventura,CA,127693.6907,10670,US
1,Austin-Round Rock,TX,127624.7721,72120,US
1,Bakersfield,CA,127605.9761,7410,US
1,Dallas-Fort Worth-Arlington,TX,127317.7709,167460,US
1,Olympia-Tumwater,WA,127104.7497,5310,US
1,Richmond,VA,127035.8311,22440,US
1,Sierra Vista-Douglas,AZ,126497.0127,1210,US
1,Dover-Durham,NH-ME,126446.8901,1740,US
1,Norwich-New London-Westerly,CT-RI,126434.3594,2640,US
1,Sacramento--Roseville--Arden-Arcade,CA,126421.8287,33060,US
1,Colorado Springs,CO,126384.2368,17300,US
1,Vallejo-Fairfield,CA,126183.7462,1980,US
1,Ithaca,NY,126114.8276,1240,US
1,Decatur,AL,125933.133,1150,US
1,Orlando-Kissimmee-Sanford,FL,125726.3771,39000,US
1,Charleston-North Charleston,SC,125651.1932,10320,US
1,Crestview-Fort Walton Beach-Destin,FL,125431.9066,5670,US
1,Corvallis,OR,125419.3759,1550,US
1,Palm Bay-Melbourne-Titusville,FL,125419.3759,17130,US
1,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,125074.7828,105230,US
1,Worcester,MA-CT,125074.7828,8020,US
1,Danbury,CT,125037.1908,1790,US
1,Cedar Rapids,IA,125024.6602,6790,US
1,Napa,CA,124924.4149,620,US
1,Chicago-Naperville-Elgin,IL-IN-WI,124918.1495,144420,US
1,Des Moines-West Des Moines,IA,124817.9043,16390,US
1,Columbus,OH,124473.3111,42740,US
1,Columbus,GA-AL,124348.0045,4140,US
1,Idaho Falls,ID,124210.1673,1900,US
1,Midland,MI,123834.2475,830,US
1,Kansas City,MO-KS,123752.7982,37790,US
1,Detroit-Warren-Dearborn,MI,123690.1449,98270,US
1,Hagerstown-Martinsburg,MD-WV,123176.3878,2120,US
1,Urban Honolulu,HI,122963.3666,11550,US
1,Portsmouth,NH-ME,122957.1013,4220,US
1,Waterloo-Cedar Falls,IA,122825.5293,2830,US
1,Rome,GA,122512.2628,210,US
1,Dayton,OH,122449.6095,17490,US
1,Salt Lake City,UT,122430.8135,36370,US
1,Virginia Beach-Norfolk-Newport News,VA-NC,122399.4869,27310,US
1,Columbus,IN,122318.0376,1270,US
1,Birmingham-Hoover,AL,122292.9763,15130,US
1,Ann Arbor,MI,122286.7109,9960,US
1,Owensboro,KY,122280.4456,290,US
1,Albany-Schenectady-Troy,NY,122111.2817,17400,US
1,New Bedford,MA,122079.9551,900,US
1,Tampa-St. Petersburg-Clearwater,FL,122004.7711,45440,US
1,Anchorage,AK,121904.5258,4190,US
1,New Haven,CT,121691.5046,6570,US
1,Winchester,VA-WV,121622.586,1070,US
1,Tucson,AZ,121522.3407,15540,US
