pie,census.year,Gender,mean_empin.roundedVals
0,2001,Women,0.206
0,2006,Women,0.432
0,2011,Women,0.0856
0,2016,Women,0.534
0,2021,Women,0.368
1,2001,Women,1.34
1,2006,Women,1.75
1,2011,Women,1.328
1,2016,Women,1.952
1,2021,Women,1.692
2,2001,Women,2.77
2,2006,Women,3.2
2,2011,Women,3.25
2,2016,Women,3.68
2,2021,Women,3.42
3,2001,Women,4.1
3,2006,Women,4.34
3,2011,Women,4.76
3,2016,Women,5.06
3,2021,Women,5.01
4,2001,Women,5.2
4,2006,Women,5.24
4,2011,Women,6.06
4,2016,Women,6.28
4,2021,Women,6.42
5,2001,Women,6.14
5,2006,Women,6.26
5,2011,Women,7.16
5,2016,Women,7.38
5,2021,Women,7.68
6,2001,Women,6.96
6,2006,Women,7.08
6,2011,Women,8.14
6,2016,Women,8.36
6,2021,Women,8.76
7,2001,Women,7.72
7,2006,Women,7.88
7,2011,Women,8.94
7,2016,Women,9.26
7,2021,Women,9.78
8,2001,Women,8.4
8,2006,Women,8.48
8,2011,Women,9.76
8,2016,Women,10
8,2021,Women,10.66
9,2001,Women,9.08
9,2006,Women,9.08
9,2011,Women,10.5
9,2016,Women,10.76
9,2021,Women,11.52
10,2001,Women,9.64
10,2006,Women,9.6
10,2011,Women,11.14
10,2016,Women,11.46
10,2021,Women,12.28
11,2001,Women,10.16
11,2006,Women,10.2
11,2011,Women,11.78
11,2016,Women,12.1
11,2021,Women,13
12,2001,Women,10.68
12,2006,Women,10.72
12,2011,Women,12.32
12,2016,Women,12.64
12,2021,Women,13.6
13,2001,Women,11.24
13,2006,Women,11.24
13,2011,Women,12.84
13,2016,Women,13.16
13,2021,Women,14.2
14,2001,Women,11.68
14,2006,Women,11.72
14,2011,Women,13.36
14,2016,Women,13.72
14,2021,Women,14.76
15,2001,Women,12.08
15,2006,Women,12.2
15,2011,Women,13.8
15,2016,Women,14.24
15,2021,Women,15.28
16,2001,Women,12.48
16,2006,Women,12.72
16,2011,Women,14.36
16,2016,Women,14.72
16,2021,Women,15.76
17,2001,Women,12.9
17,2006,Women,13.1
17,2011,Women,14.84
17,2016,Women,15.16
17,2021,Women,16.24
18,2001,Women,13.3
18,2006,Women,13.5
18,2011,Women,15.32
18,2016,Women,15.6
18,2021,Women,16.68
19,2001,Women,13.7
19,2006,Women,13.9
19,2011,Women,15.76
19,2016,Women,16.04
19,2021,Women,17.12
20,2001,Women,14.1
20,2006,Women,14.25
20,2011,Women,16.08
20,2016,Women,16.48
20,2021,Women,17.56
21,2001,Women,14.4
21,2006,Women,14.65
21,2011,Women,16.48
21,2016,Women,16.88
21,2021,Women,17.96
22,2001,Women,14.6
22,2006,Women,15
22,2011,Women,16.84
22,2016,Women,17.36
22,2021,Women,18.36
23,2001,Women,14.95
23,2006,Women,15.35
23,2011,Women,17.2
23,2016,Women,17.76
23,2021,Women,18.76
24,2001,Women,15.25
24,2006,Women,15.7
24,2011,Women,17.6
24,2016,Women,18.12
24,2021,Women,19.12
25,2001,Women,15.45
25,2006,Women,16
25,2011,Women,18
25,2016,Women,18.52
25,2021,Women,19.48
26,2001,Women,15.75
26,2006,Women,16.4
26,2011,Women,18.36
26,2016,Women,18.84
26,2021,Women,19.84
27,2001,Women,16.1
27,2006,Women,16.7
27,2011,Women,18.72
27,2016,Women,19.2
27,2021,Women,20.2
28,2001,Women,16.4
28,2006,Women,17
28,2011,Women,19.08
28,2016,Women,19.6
28,2021,Women,20.56
