Age,Sector,Occupation,stat,Age_FR,Sector_FR,Occupation_FR
15-24,Nonprofit,Tech Worker,18000,15-24,Organisme à but non lucratif,Travail technologique
25-34,Nonprofit,Tech Worker,46300,25-34,Organisme à but non lucratif,Travail technologique
35-44,Nonprofit,Tech Worker,68800,35-44,Organisme à but non lucratif,Travail technologique
45-54,Nonprofit,Tech Worker,73000,45-54,Organisme à but non lucratif,Travail technologique
55+,Nonprofit,Tech Worker,70000,55+,Organisme à but non lucratif,Travail technologique
15-24,Other,Tech Worker,27150,15-24,Autre,Travail technologique
25-34,Other,Tech Worker,68800,25-34,Autre,Travail technologique
35-44,Other,Tech Worker,95800,35-44,Autre,Travail technologique
45-54,Other,Tech Worker,112400,45-54,Autre,Travail technologique
55+,Other,Tech Worker,95800,55+,Autre,Travail technologique
15-24,Nonprofit,Other Work,13920,15-24,Organisme à but non lucratif,Travail non technologique
25-34,Nonprofit,Other Work,32700,25-34,Organisme à but non lucratif,Travail non technologique
35-44,Nonprofit,Other Work,40000,35-44,Organisme à but non lucratif,Travail non technologique
45-54,Nonprofit,Other Work,45000,45-54,Organisme à but non lucratif,Travail non technologique
55+,Nonprofit,Other Work,36300,55+,Organisme à but non lucratif,Travail non technologique
15-24,Other,Other Work,14400,15-24,Autre,Travail non technologique
25-34,Other,Other Work,42100,25-34,Autre,Travail non technologique
35-44,Other,Other Work,57600,35-44,Autre,Travail non technologique
45-54,Other,Other Work,64600,45-54,Autre,Travail non technologique
55+,Other,Other Work,49800,55+,Autre,Travail non technologique
