Education,Sector,Occupation,stat,Education_FR,Sector_FR,Occupation_FR
No certificate,Nonprofit,Tech Worker,60000,Aucun certificat,Organisme à but non lucratif,Travail technologique
High school diploma,Nonprofit,Tech Worker,42800,Diplôme d’études secondaires,Organisme à but non lucratif,Travail technologique
Apprenticeship or trade diploma,Nonprofit,Tech Worker,44000,Diplôme d’apprenti(e) ou d’une école de métiers,Organisme à but non lucratif,Travail technologique
College or CEGEP,Nonprofit,Tech Worker,59100,Diplôme d’études collégiales ou DEC,Organisme à but non lucratif,Travail technologique
University diploma,Nonprofit,Tech Worker,58000,Diplôme d’études universitaires,Organisme à but non lucratif,Travail technologique
Bachelor or above,Nonprofit,Tech Worker,64400,Baccalauréat ou grade supérieur,Organisme à but non lucratif,Travail technologique
No certificate,Other,Tech Worker,64600,Aucun certificat,Autre,Travail technologique
High school diploma,Other,Tech Worker,58700,Diplôme d’études secondaires,Autre,Travail technologique
Apprenticeship or trade diploma,Other,Tech Worker,61500,Diplôme d’apprenti(e) ou d’une école de métiers,Autre,Travail technologique
College or CEGEP,Other,Tech Worker,74800,Diplôme d’études collégiales ou DEC,Autre,Travail technologique
University diploma,Other,Tech Worker,74800,Diplôme d’études universitaires,Autre,Travail technologique
Bachelor or above,Other,Tech Worker,95800,Baccalauréat ou grade supérieur,Autre,Travail technologique
No certificate,Nonprofit,Other Work,17040,Aucun certificat,Organisme à but non lucratif,Travail non technologique
High school diploma,Nonprofit,Other Work,22440,Diplôme d’études secondaires,Organisme à but non lucratif,Travail non technologique
Apprenticeship or trade diploma,Nonprofit,Other Work,26950,Diplôme d’apprenti(e) ou d’une école de métiers,Organisme à but non lucratif,Travail non technologique
College or CEGEP,Nonprofit,Other Work,33000,Diplôme d’études collégiales ou DEC,Organisme à but non lucratif,Travail non technologique
University diploma,Nonprofit,Other Work,36900,Diplôme d’études universitaires,Organisme à but non lucratif,Travail non technologique
Bachelor or above,Nonprofit,Other Work,48000,Baccalauréat ou grade supérieur,Organisme à but non lucratif,Travail non technologique
No certificate,Other,Other Work,26250,Aucun certificat,Autre,Travail non technologique
High school diploma,Other,Other Work,34400,Diplôme d’études secondaires,Autre,Travail non technologique
Apprenticeship or trade diploma,Other,Other Work,48100,Diplôme d’apprenti(e) ou d’une école de métiers,Autre,Travail non technologique
College or CEGEP,Other,Other Work,46500,Diplôme d’études collégiales ou DEC,Autre,Travail non technologique
University diploma,Other,Other Work,46800,Diplôme d’études universitaires,Autre,Travail non technologique
Bachelor or above,Other,Other Work,67800,Baccalauréat ou grade supérieur,Autre,Travail non technologique
