name,groupName,subGroupName,count,m,score,digital_assign,pct,lv.mod
 TACL (Tandem advanced command language),Technologies,Object or component oriented development software,1,58.8346499750994,78.70787514789629,1,0.0012168855032429998,Software/Product Development skills
3D Design,Technologies,Computer aided design CAD software,6,115.011810390569,109.69579570446625,1,0.007301313019458,Industrial Modelling and Geospatial Software skills
3D modelling,Technologies,Computer aided design CAD software,23,105.04467601183039,86.3481363980824,1,0.027988366574589,Industrial Modelling and Geospatial Software skills
3D Printing,Technologies,Computer aided design CAD software,35,110.18512977433852,175.81356907953793,1,0.042590992613505,Industrial Modelling and Geospatial Software skills
3D Scanning,Technologies,Computer aided design CAD software,3,NA,135.93549820923033,1,0.003650656509729,Industrial Modelling and Geospatial Software skills
3M Encoder,Technologies,Categorization or classification software,1,41.9485357186619,41.9485357186619,1,0.0012168855032429998,Workforce digital skills
4G / LTE technology,Technologies,Networking and telecommunications,2,NA,82.3638769105564,1,0.0024337710064859996,Software/Product Development skills
5G technology,Technologies,Networking and telecommunications,33,49.39962575307203,67.52248461204871,1,0.040157221607019,Software/Product Development skills
5S Methodology,Occupational Skills,Business planning and operations,10,185.267469082791,229.80245026909896,0,0.012168855032429999,NA
A programming language APL,Technologies,Development environment software,6,86.49728210538244,57.253402740638236,1,0.007301313019458,Software/Product Development skills
Ability to Learn,Social-Emotional Skills,Cognitive,1958,181.94337434916739,236.1616075148761,0,2.3826618153497936,NA
Accelerometers,Tools and Equipment,Miscellaneous or unclassified,3,135.48504409527965,80.75270140545751,0,0.003650656509729,Software/Product Development skills
Access control systems,Tools and Equipment,Security,24,122.90673457080865,133.5234480979953,0,0.029205252077832,NA
Access management software,Technologies,Access software,2,171.2142351820124,133.36937723344514,1,0.0024337710064859996,Cybersecurity and System Infrastructure skills
Accounting,Occupational Skills,Corporate finance and accounting,1928,167.6930030437539,157.89825604427253,0,2.346155250252504,NA
Accounting software,Technologies,Accounting software,173,179.418190416863,155.20451021034103,1,0.21052119206103898,Workforce digital skills
Accounts payable software,Technologies,Accounting software,1,116.520986585894,161.47665871571044,1,0.0012168855032429998,Workforce digital skills
ACLS (Advanced Cardiac Life Support),Occupational Skills,Health services,2453,193.91254771968397,193.86753103449456,0,2.9850201394550786,NA
Adaptive Planning,Technologies,Enterprise resource planning ERP software,3,152.310966242408,111.24784057236216,1,0.003650656509729,Workforce digital skills
"Admissions, discharge, and transfer ADT software",Technologies,Medical software,10,199.27897900571455,217.66807246976518,1,0.012168855032429999,Workforce digital skills
Adobe Systems Adobe Acrobat,Technologies,Document management software,193,155.49489841709394,140.4220065791063,1,0.23485890212589897,Workforce digital skills
Adobe Systems Adobe After Effects,Technologies,Video creation and editing software,5,93.35528561166225,74.58311216876203,1,0.0060844275162149995,Design and Marketing skills
Adobe Systems Adobe Captivate,Technologies,Computer based training software,13,102.7219953866611,74.2785469628622,1,0.015819511542159,Design and Marketing skills
