name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
 TACL (Tandem advanced command language),Technologies,Object or component oriented development software,6,78.70787514789629,1,8.445529851429053e-4,Software/Product Development skills
3D Design,Technologies,Computer aided design CAD software,353,109.69579570446625,1,0.04968786729257427,Industrial Modelling and Geospatial Software skills
3D graphics software,Technologies,Graphics or photo imaging software,18,51.14533694448034,1,0.0025336589554287164,Design and Marketing skills
3D modelling,Technologies,Computer aided design CAD software,830,86.3481363980824,1,0.11682982961143526,Industrial Modelling and Geospatial Software skills
3D Printing,Technologies,Computer aided design CAD software,344,175.81356907953793,1,0.04842103781485991,Industrial Modelling and Geospatial Software skills
3D Scanning,Technologies,Computer aided design CAD software,81,135.93549820923033,1,0.011401465299429224,Industrial Modelling and Geospatial Software skills
3M Encoder,Technologies,Categorization or classification software,11,41.9485357186619,1,0.0015483471394286599,Workforce digital skills
3PL Central,Technologies,Materials requirements planning logistics and supply chain software,1,165.84798872817956,1,1.407588308571509e-4,Workforce digital skills
4G / LTE technology,Technologies,Networking and telecommunications,60,82.3638769105564,1,0.008445529851429052,Software/Product Development skills
5 axis lathes,Tools and Equipment,Miscellaneous or unclassified,6,202.23525947081,0,8.445529851429053e-4,NA
5G technology,Technologies,Networking and telecommunications,613,67.52248461204871,1,0.08628516331543351,Software/Product Development skills
5S Methodology,Occupational Skills,Business planning and operations,811,229.80245026909896,0,0.11415541182514938,NA
A programming language APL,Technologies,Development environment software,49,57.253402740638236,1,0.006897182712000394,Software/Product Development skills
Ab Initio,Technologies,Enterprise resource planning ERP software,21,62.909930906297895,1,0.002955935448000169,Software/Product Development skills
Abbot,Technologies,Program testing software,2,388.579488353187,1,2.815176617143018e-4,Workforce digital skills
Ability to Learn,Social-Emotional Skills,Cognitive,18243,236.1616075148761,0,2.567863351327004,NA
Abrasive wheels,Tools and Equipment,Miscellaneous or unclassified,16,254.91846843824473,0,0.0022521412937144144,NA
Accelerometers,Tools and Equipment,Miscellaneous or unclassified,16,80.75270140545751,0,0.0022521412937144144,Software/Product Development skills
Acceptance Test Procedures,Technologies,Quality Control,10,158.50185879467514,1,0.001407588308571509,Workforce digital skills
Access control systems,Tools and Equipment,Security,201,133.5234480979953,0,0.02829252500228733,NA
Access management software,Technologies,Access software,18,133.36937723344514,1,0.0025336589554287164,Cybersecurity and System Infrastructure skills
Access servers,Tools and Equipment,Miscellaneous or unclassified,33,63.809928466050756,1,0.0046450414182859804,Cybersecurity and System Infrastructure skills
Account management software,Technologies,Accounting software,17,154.16041029059727,1,0.002392900124571565,Workforce digital skills
Accounting,Occupational Skills,Corporate finance and accounting,46535,157.89825604427253,0,6.550212193937517,NA
Accounting software,Technologies,Accounting software,6830,155.20451021034103,1,0.9613828147543406,Workforce digital skills
Accounts payable software,Technologies,Accounting software,8,161.47665871571044,1,0.0011260706468572072,Workforce digital skills
Accounts receivable software,Technologies,Accounting software,1,145.994604776102,1,1.407588308571509e-4,Workforce digital skills
